-5,0,14,4,-3,-3,-1,2
-2,-6,2,-1,-14,-8,-2,-4
-4,1,-4,-6,11,17,4,2
2,0,13,13,2,-6,-6,3
1,4,-16,-9,3,0,0,-6
-6,-5,-2,10,3,4,2,-5
9,3,-1,1,-4,-7,1,3
-5,-4,23,12,-4,1,-4,3
-5,2,3,1,0,1,3,-4
1,-2,0,-5,4,2,-1,1
1,1,-20,-15,-8,-7,1,1
0,-3,-1,0,-6,-1,0,1
-6,-3,7,9,1,3,-2,-4
2,2,2,7,1,7,3,4
-7,-2,4,0,5,-4,-1,-3
3,-2,4,1,-1,-4,-4,-1
-4,-2,-3,-14,-4,-9,-4,-1
-2,6,-4,-5,7,13,2,1
3,-1,0,0,-8,-7,-4,-1
-9,-2,15,26,-2,2,8,-6
3,-1,-5,-5,8,3,-1,3
0,3,-8,-25,-4,-3,-1,-4
-1,-3,-9,-21,-7,-2,3,1
5,2,1,18,3,3,-3,-1
0,0,3,15,3,-2,-1,9
2,-4,-3,-6,-6,-11,0,-4
0,1,7,-3,-2,2,-3,-2
-1,1,-2,-20,-5,2,1,9
-2,-2,-7,8,3,-5,-6,-13
5,1,15,22,0,-5,2,1
-8,-7,-18,-11,-10,-14,-4,-12
13,4,1,-8,6,11,1,19
-13,-4,3,20,-1,3,3,0
-10,-7,-9,-41,2,0,-5,-18
-1,1,9,22,5,1,5,3
12,-3,11,31,-3,-3,-6,-4
7,-8,-23,4,5,-3,0,21
-9,1,-26,-51,-8,-5,-7,-29
-4,-3,14,42,-3,5,1,10
3,-2,-16,-59,-6,-11,-5,-34
13,6,26,34,-2,-1,-7,-12
-4,-23,-44,34,-1,-3,-4,11
14,14,23,-61,-8,1,4,21
-4,0,-28,37,-4,-2,-3,-23
-7,4,-6,-39,2,-5,3,12
14,14,37,89,1,8,-13,-33
-38,-22,-19,-36,5,-1,3,0
21,1,-6,-37,-22,-7,3,23
-14,-4,-15,39,-6,-7,-2,-12
12,6,6,-29,3,7,3,22
6,2,35,78,29,13,6,4
-7,5,-18,-39,1,1,-2,-35
-12,3,27,-5,-5,2,0,2
2,-2,18,50,2,-11,1,7
3,-3,-43,-51,3,9,-1,-4
-18,-8,7,42,15,0,4,16
30,7,1,-44,-12,-2,-3,-9
-7,-3,29,32,5,0,3,-5
5,13,-8,-9,-2,-1,-9,2
2,-29,-36,-21,-6,-4,3,23
-5,-7,-1,-6,-7,0,8,-22
3,17,57,33,5,-7,3,8
1,-15,-34,-4,-14,-7,-16,-13
12,6,8,-43,14,9,4,26
-2,7,13,22,-2,-3,-10,-8
-20,-4,0,-16,2,-11,-12,10
6,14,31,22,-3,11,27,-21
-12,24,37,69,14,5,-7,-13
-3,-24,-6,-83,-7,-1,3,4
7,5,-9,5,-4,-7,-2,24
-8,-3,19,3,-5,-7,-3,-7
-4,3,-36,2,2,2,-6,-10
0,8,-12,-10,3,20,24,4
8,-2,17,14,7,2,-3,13
-1,0,-10,-7,-2,-9,-13,1
-18,-7,1,28,7,1,13,-2
20,8,-7,54,-1,-4,-20,11
-13,-8,10,-40,-15,0,2,-15
11,6,-9,-80,-6,-7,2,0
-9,-4,45,99,-4,-12,-30,12
-12,2,-71,-5,-7,-4,53,-15
2,2,4,21,9,15,-21,1
17,15,19,58,12,6,11,0
6,-22,15,-71,-5,-14,-17,9
-19,-13,-23,-50,-16,2,-3,16
16,34,62,101,27,12,10,19
-43,-50,-95,-81,-57,-23,-9,-29
4,6,30,73,22,23,17,10
8,7,47,-16,9,-13,-38,9
-15,-23,-38,-51,-5,4,56,-8
14,28,28,31,28,2,-55,14
-3,34,60,39,-4,4,13,-4
-7,-46,-93,-36,-21,-7,-19,21
-12,-10,7,-41,-9,-2,14,19
17,17,62,-51,7,-3,13,1
-26,23,5,72,8,4,-6,-17
39,-8,39,-4,-1,11,67,8
-13,12,-18,20,-3,-3,-55,-15
30,9,33,99,17,7,29,41
-8,5,-13,-112,-16,-6,-6,-21
28,41,70,127,28,-16,-79,-3
-65,-40,-31,-37,1,-9,4,27
-15,-24,-45,-13,-14,22,40,-43
13,13,19,20,14,9,31,12
-22,-14,4,37,24,6,3,-9
52,26,49,54,5,-6,-45,-11
-39,1,-72,-46,-18,-17,-1,44
7,-13,-74,-96,-20,-23,-27,-5
-12,10,79,41,-5,21,87,-41
15,-40,-48,-47,-10,3,26,-9
-35,8,6,-4,36,4,-91,-24
16,-5,-69,-87,-19,-2,38,-28
-6,7,38,73,6,-15,-58,1
-2,15,-12,-95,-23,-6,35,15
25,-3,58,116,17,36,105,-16
-13,-5,-62,-65,4,-2,-53,51
-33,3,69,-65,19,1,-60,-56
28,-28,-53,45,-27,-8,37,-13
39,16,-68,-90,-10,-6,-40,63
-2,17,95,21,33,18,12,4
-22,-61,-102,-73,-34,-6,9,-24
4,28,43,48,15,-5,-33,-24
-3,-5,-22,-11,-2,-4,17,10
-9,-8,28,83,3,1,-55,-38
3,16,-42,-125,-21,3,33,29
3,8,15,68,20,16,28,-11
14,-41,-21,38,-25,-11,15,-14
36,13,28,76,-2,-3,18,59
24,39,42,13,34,4,-14,26
-104,-59,-120,-91,-33,-17,-15,-85
37,14,-28,-71,-24,0,7,29
0,13,18,-69,-12,-22,-53,-26
9,-22,-10,92,10,9,-2,20
3,25,-15,-123,-7,-2,18,0
-40,3,36,-16,12,11,-3,-47
35,-50,-128,-93,-39,-32,10,48
-28,11,9,7,23,15,11,-4
-25,-21,27,-63,-10,-9,-107,-62
-9,9,12,117,3,-20,5,2
7,17,42,-46,14,16,-2,11
-3,-9,-11,-10,-9,-4,69,9
48,23,62,104,28,2,-7,34
-27,-30,-28,2,-26,-15,-23,-25
9,-5,-15,-22,-11,11,47,7
39,0,-26,-85,-8,-22,-63,22
-22,24,-5,-86,-7,15,50,5
1,30,90,38,32,-2,-37,-26
-5,-14,-17,-34,12,23,11,69
-10,15,77,110,42,31,18,-77
39,-50,-103,-60,-54,-38,62,28
28,54,86,16,19,8,-16,15
-29,-96,-88,-50,-41,-18,-22,-42
14,21,-3,70,-6,-7,-11,26
-5,24,40,21,24,7,-26,-7
-8,-22,-35,-11,-18,-15,-6,6
40,30,20,32,9,0,31,-3
-63,-18,-57,2,-13,-2,-3,15
30,5,-1,-82,-20,19,60,61
4,1,10,-29,4,-4,-27,-1
-24,-21,-70,-18,-35,2,17,-4
18,-4,29,-20,-27,-19,13,-7
23,34,4,100,42,23,3,6
-32,-28,-65,-90,-14,-21,-69,15
11,25,74,26,28,12,38,23
-18,12,33,-53,-15,-10,-40,-49
-16,-16,2,65,8,-6,-14,1
27,-8,16,90,15,26,74,15
-32,13,87,9,15,-4,-13,-44
