0,2,-16,4,1,-2,-3,-1
-1,-2,10,-1,-2,-1,0,-1
-2,-1,2,1,3,0,0,-1
-1,-2,-28,-1,-3,1,1,0
-2,0,15,7,0,-2,-4,-4
0,0,22,-9,1,0,1,2
-2,-4,-19,-7,-2,-2,0,-1
0,0,11,-3,-3,0,-2,0
-1,1,-18,0,-1,0,-3,-1
-3,1,7,13,1,-1,-3,-2
-1,-3,13,8,2,2,1,-3
9,8,1,-2,-3,-3,2,4
-1,-6,11,-5,0,-1,2,3
-7,-7,-29,-6,-1,-3,-5,-5
-1,8,16,28,1,3,-2,-1
-1,-4,10,-17,-6,-2,0,-4
3,4,-1,-35,-5,-4,-1,2
-4,-7,-4,0,-2,-1,5,4
-1,-8,-5,-16,-4,0,0,-6
-8,-2,-45,-1,-1,-1,-5,-6
3,5,36,11,3,4,-1,3
0,9,81,13,2,0,-4,-5
0,3,-63,2,1,-2,0,-3
6,-1,11,30,5,4,7,13
4,4,-33,-55,-5,-1,1,-1
-3,2,-38,2,2,0,-5,-3
18,6,4,-15,0,2,-3,-10
-12,8,49,4,-5,-4,3,16
-8,-13,-25,8,-4,0,5,8
7,3,66,-9,2,5,2,24
-9,1,-41,-2,3,-10,-10,-60
-4,-12,23,28,-3,-1,-1,-16
9,6,23,35,4,-7,-4,31
2,5,-12,-30,-9,-4,1,-14
2,-2,-28,-27,-2,6,-1,30
0,-8,-79,-50,-6,1,-5,-8
2,3,87,115,21,2,-8,-35
-24,-9,-63,3,-17,-10,-1,-24
-13,4,33,-9,0,3,10,68
24,8,-26,53,15,9,-7,-23
12,-35,-62,-57,2,-4,9,-22
36,45,17,0,-2,6,0,38
-15,7,62,12,-9,-13,-7,-25
-81,-16,-27,-53,-8,4,0,-12
10,-21,-52,1,4,-4,6,83
1,-25,37,47,-6,-10,-8,-43
50,37,55,47,6,-1,4,11
27,10,7,16,4,-9,-11,-2
-6,33,86,10,-2,30,25,-5
-53,-47,-114,-90,-18,-15,-11,-56
-37,-56,80,41,6,7,-7,52
-31,-13,59,35,4,-10,-31,-38
-2,-13,13,-33,-18,-26,21,34
17,26,65,56,30,13,9,17
9,-12,-33,-88,-10,6,5,32
67,47,-76,-31,-10,-2,21,11
34,25,37,-47,-4,-3,-21,30
34,26,-31,8,16,13,-11,11
-45,-31,-76,-48,-4,-21,-12,-31
-90,-18,101,50,14,13,-3,-22
88,15,-55,-10,-4,-6,-4,-9
-24,3,20,-41,-2,-3,11,0
-33,-60,-98,-16,10,10,-2,-46
3,59,109,-9,3,-5,5,25
-5,-34,-109,-41,-27,-3,0,-28
53,41,38,78,30,14,2,48
-20,12,55,118,16,7,-5,-24
-7,-34,-85,-128,-41,-23,6,-14
5,18,72,-55,-50,-13,-2,42
-16,3,-32,-7,-31,2,-2,-27
47,16,-92,-33,35,9,13,23
-16,-33,-100,-17,8,-2,-13,86
-75,5,111,-24,-4,-11,-8,-80
5,-33,-31,-69,-44,-18,-4,0
10,-4,-58,-51,-55,2,13,-13
55,66,81,116,88,28,0,-12
-114,-60,-128,-41,-9,-26,-40,49
60,6,39,27,3,-8,20,-22
19,7,-12,0,-12,-12,0,-7
70,6,14,8,-21,2,6,-13
19,35,-35,77,18,11,-5,-32
-85,-47,28,26,28,5,-31,-95
-3,-5,-5,-31,-26,-19,1,95
14,14,-7,-8,-22,3,22,35
2,4,-9,40,48,16,5,-25
11,-9,54,53,1,6,-2,13
-21,39,9,11,1,-1,5,-30
-68,-79,-128,-128,-16,-7,-9,-43
19,-12,-33,1,-35,-3,3,3
14,46,64,74,27,15,15,24
13,-12,7,5,25,4,1,34
-55,6,15,-15,-36,-13,10,41
60,-5,-4,-3,-32,2,-6,29
-32,8,-100,44,50,14,-6,-25
18,-35,108,-4,30,5,20,18
-34,-14,-62,-6,15,5,-18,-63
-25,-25,6,-45,-30,-16,-23,-121
30,28,-68,-37,-41,-9,16,127
-4,38,116,32,-14,-2,-20,-15
-13,-54,-80,36,-36,-52,-52,-77
17,35,92,0,25,33,43,26
34,-21,35,-28,5,32,19,31
-16,34,-83,-49,-2,1,-14,-58
62,21,127,115,23,9,6,23
-88,1,11,-6,18,-12,-37,-41
29,23,41,-75,-36,-43,-18,-25
48,-2,57,25,-19,2,28,63
-23,-37,32,-11,-2,7,4,17
4,33,-24,94,44,24,7,-9
-69,-30,-15,-64,-10,-9,-24,15
22,6,-19,-39,-26,-16,8,3
-1,-21,-90,-84,-54,-8,4,3
6,43,86,97,113,42,7,7
-7,-52,-53,1,-24,-9,-9,-20
6,34,-38,-9,16,0,-9,-29
3,13,127,-42,19,15,17,1
19,-18,-74,39,-1,0,19,75
-1,4,-10,5,-11,-2,12,53
-36,-28,-88,-4,31,11,-7,-77
70,42,45,0,-9,9,19,121
-1,-41,-95,-17,-53,-30,-36,-7
-77,9,-13,10,21,-9,-9,-28
-39,-28,-48,28,9,23,19,-40
99,23,48,25,21,22,34,49
-50,26,-39,-35,-22,-25,9,-25
-16,-26,-63,-50,-7,-7,2,-18
-31,14,62,8,-9,-14,-32,-17
-21,-37,24,77,17,0,-6,-68
29,4,-37,-92,-33,12,7,44
6,-3,-1,18,-42,-11,-16,-38
7,24,72,-45,24,6,9,70
35,32,-43,-29,-4,-7,-5,-13
-38,-42,-23,-104,-28,-9,10,9
-32,-4,-2,-29,-104,-22,-8,-35
49,59,75,111,85,49,8,15
10,-10,-55,7,8,-2,14,97
13,25,37,-22,-16,-13,-4,16
-14,-36,-41,-32,6,5,-19,-64
22,5,53,13,-49,-38,-21,34
-46,-29,30,63,-1,-12,-28,-116
15,37,-73,-50,-2,4,-9,3
88,22,49,53,30,8,35,123
-25,-45,-113,-75,-35,-17,-6,-19
-30,-4,7,-15,14,16,0,-19
27,16,118,127,-7,-15,-27,-68
-15,-31,-17,-27,29,6,15,8
-3,-21,-64,-20,-21,-3,6,32
-21,15,16,-26,-8,1,12,55
2,-15,-72,-42,-6,0,-9,-81
27,0,-42,32,3,11,-12,6
-9,9,87,65,56,15,23,-11
-36,-40,-49,-54,-19,-14,-10,33
-36,-1,38,-10,9,4,12,3
28,15,21,-46,-8,-16,-15,-31
-4,-32,-103,-68,-50,-13,-13,-6
-18,40,21,25,11,18,8,5
-22,-28,-92,-10,6,3,4,8
2,13,89,25,4,-5,-2,-12
12,5,10,41,7,-4,10,57
2,21,6,9,20,5,6,-25
7,-30,-27,-5,4,4,-3,11
-11,4,-39,-92,-48,-6,-8,-9
-18,17,63,79,41,14,-21,-46
25,0,-48,5,21,-10,-7,-11
19,-15,-8,-27,-8,-15,5,39
-28,-9,-5,8,39,30,12,-36
-21,-4,-12,-58,-53,-23,-9,-55
-23,3,-32,-38,-19,4,9,25
30,22,68,64,19,22,24,84
-8,-10,16,-17,-1,-15,-16,-73
-2,-7,-118,-19,-15,0,4,7
-1,2,5,17,-5,-11,-17,-25
5,-8,20,-20,-12,-14,-6,4
-21,5,-24,-38,-2,11,11,19
11,15,97,60,11,-1,-10,-8
0,-11,4,38,17,-11,-7,-14
-9,11,5,0,-1,-1,1,-14
9,-33,-42,-18,8,2,9,28
-5,-11,-22,-42,-30,-8,-6,-18
5,5,-16,-21,-9,4,-5,4
-4,1,37,4,4,8,4,-21
3,19,52,65,31,2,1,16
9,-1,-65,-7,-4,-3,0,6
-7,-15,-70,-30,-25,-14,-13,-19
5,-3,50,21,5,8,3,-8
4,5,-8,13,13,7,12,17
-5,-10,35,-20,-12,-1,-5,-4
0,-3,-20,-16,-16,-2,-6,-26
-4,-12,-14,8,11,-5,-6,6
6,10,-4,16,6,-6,4,12
7,1,3,-4,6,13,10,6
1,5,22,-10,-7,-2,-5,-12
-11,-9,15,-18,-13,-8,-7,-9
-5,3,-69,11,4,2,-5,-1
-1,-1,30,10,5,-5,-3,-11
3,3,56,17,3,1,4,5
-3,-4,-8,-10,-3,-1,-1,-6
1,2,-19,-15,-11,-4,-2,6
0,-7,-6,-11,-10,-2,-3,-5
5,12,17,11,6,6,1,7
-4,-4,-2,12,3,-1,3,-3
3,2,-12,-2,4,0,1,3
-3,-7,-38,-24,-8,-3,-1,1
-2,-5,30,-3,-3,-1,-1,-1
0,7,27,17,3,2,-1,-9
-4,1,36,19,13,-1,4,5
-4,1,23,-3,-3,-3,-4,-2
-6,-10,-66,-29,-12,-3,-4,-3
1,-4,-36,-3,-2,0,1,3
4,7,33,2,1,-3,0,6
-7,-9,-67,-3,-5,-3,-6,-1
2,4,58,15,0,-4,2,-1
-1,-3,-11,10,0,-2,-1,-5
-5,-2,5,6,2,0,-1,-2
5,1,-3,-15,-1,1,-2,-2
4,0,-8,-13,-5,-1,-1,1
-4,-3,-16,1,1,3,3,0
1,1,39,13,2,-3,-4,-2
-3,-2,-16,-9,-5,-1,-1,-6
5,2,6,1,-2,-2,0,3
-2,-1,-13,-5,-3,2,1,-1
2,4,37,-10,-7,0,0,0
2,2,17,34,24,3,0,2
-4,-8,-9,8,4,-1,2,-1
-1,0,-7,-9,-5,-3,-2,-3
1,2,-5,-3,-1,-6,0,3
-2,-2,35,-3,-8,1,-1,-5
3,-1,-39,-6,-2,2,1,0
0,6,23,-2,4,2,-2,-3
-6,-13,-82,4,-1,-2,-4,-3
2,9,65,9,-2,-2,2,1
0,-3,-10,-6,-2,1,0,-11
-5,5,22,-2,-7,-5,-2,6
2,1,1,0,3,0,1,4
2,-2,-7,-6,-4,-2,-1,-2
-2,-3,-21,-2,-1,4,-1,-1
1,0,12,12,3,4,-2,-3
-1,3,0,-8,-1,1,-1,-1
-3,-3,-18,-12,-8,-3,0,-2
-1,0,11,-3,2,-3,-1,1
-1,-3,-2,-4,-2,-2,0,-1
0,2,8,0,3,1,-2,1
-3,-2,-12,3,-6,-2,-2,-2
-1,-1,-19,-4,3,9,3,2
1,5,45,31,1,-2,1,-3
-3,-9,7,0,10,1,0,-5
-2,-2,-9,-21,-8,-5,-4,0
1,0,-11,0,-3,2,0,2
0,1,2,11,10,4,0,-2
0,-2,-16,-3,-7,-5,-1,1
1,4,14,-7,-1,-1,-9,0
-3,-2,6,-8,-5,-3,10,-1
5,-3,-18,-14,-1,19,12,3
-1,-3,0,4,-2,0,-3,-1
-1,-3,-23,-11,2,-1,2,-1
1,6,42,11,2,-8,-9,-1
0,-4,-3,-3,-3,-8,-4,1
-3,-1,-5,-8,-6,1,3,-3
0,-1,-2,5,5,1,-3,-2
-1,-1,-1,-6,-7,-5,-4,2
0,-1,-13,4,6,-8,0,-1
0,1,18,-1,-2,3,3,1
-1,-3,-5,-7,-13,4,2,0
-2,-4,18,-3,-4,-1,-1,-1
0,-2,-19,13,14,-1,-4,-4
0,1,-21,7,9,-1,-1,0
2,6,40,15,1,-2,1,0
1,-5,-30,-17,-1,2,1,4
-6,3,24,3,-11,-7,-4,-7
2,9,15,1,3,1,1,2
2,-7,-13,2,4,0,2,1
1,-5,-6,-7,-8,-4,-3,0
-2,-4,-26,10,1,-1,-1,0
1,2,-13,-7,0,-4,-2,0
-1,-7,-30,-4,1,-3,-4,-3
-4,4,36,7,-1,4,3,-1
5,4,11,-3,-2,-1,0,3
-5,-8,-1,1,1,1,0,-3
0,-1,-7,2,-1,-3,-4,0
-3,-4,-18,-11,-3,-5,-4,-4
-2,1,7,-2,-1,-1,-1,-5
1,1,2,3,-3,-4,-4,5
1,2,8,6,11,2,1,1
-1,-6,-40,-18,-2,1,4,-2
1,2,49,12,-1,-2,-2,-1
0,-2,-13,-11,-5,-1,-2,-1
-2,-2,-20,3,-5,-2,-4,-2
-2,1,-9,1,2,-3,-3,1
-4,-7,-10,-15,-7,-4,1,-1
-2,-4,-3,3,2,3,3,-2
1,-2,6,4,3,1,1,-2
2,5,-13,-3,2,0,0,3
-3,-4,21,2,-1,0,0,0
-4,0,3,0,1,-1,-1,-3
-2,-1,3,-1,-3,0,0,0
-1,-6,-16,-4,-2,-1,-2,-1
-2,-3,-10,-2,2,0,-2,-2
2,1,6,3,3,2,2,2
-4,-2,5,3,2,-1,1,-1
1,-1,-11,-2,-2,-4,-2,-5
1,0,23,-1,-3,1,3,4
-2,-2,-11,-5,-1,0,3,-1
-3,0,-5,-5,-4,1,-1,-1
-1,0,31,4,12,1,-2,1
-1,-3,-23,4,2,2,0,-3
0,3,10,3,0,-1,-1,-2
-2,-5,15,3,-5,-2,0,-1
1,-2,-1,-4,-5,-2,-1,2
-1,4,-22,-22,-8,-1,-2,0
-2,-5,29,18,-2,-1,-2,-3
-1,-7,-15,-9,-4,1,-2,-3
0,7,22,-6,-3,-2,0,1
-1,-9,-11,-5,-12,-2,-1,1
0,-2,4,-8,-7,-1,0,-1
2,5,-4,6,5,0,2,1
-3,-5,11,-2,-2,0,0,-1
-1,2,-6,2,-1,1,-2,-4
-4,-4,2,1,-5,-5,0,0
-1,-1,-7,-4,-4,-1,0,0
-1,0,2,-3,-3,-2,-2,-1
-1,-5,-3,0,-1,0,-3,-1
-1,7,-10,-10,5,1,-1,0
1,-5,-20,1,-2,1,0,2
-1,-5,32,8,-4,-2,-2,-1
2,6,-19,9,9,-1,2,2
-7,-18,-5,-19,0,1,-2,-5
-4,1,-19,1,-9,-5,-1,-2
16,8,6,0,8,2,0,2
3,1,16,17,-3,-1,1,6
5,11,-4,23,12,3,1,0
-16,-8,-38,-9,1,-2,-4,-7
-9,-11,12,-6,-8,-4,-1,-3
2,5,-38,-32,-5,-4,1,0
7,4,-16,-8,-3,-1,-1,4
2,13,56,19,-1,1,0,1
-8,-12,-25,-16,1,1,-4,-4
