2,0,1,0,-2,7,2,-1
0,1,1,2,4,1,1,2
-3,-1,-3,-3,3,-2,-4,-1
0,-5,-5,-4,-14,-10,0,-4
-4,2,-1,4,10,3,3,2
5,2,13,8,0,-3,-1,2
0,-1,-6,-6,3,12,2,1
1,1,-2,-1,-9,-7,-3,-4
3,1,2,1,4,9,5,4
-6,-1,-2,-4,-5,-8,-7,-7
0,-4,-6,-3,0,-6,1,6
8,12,17,12,5,0,-1,1
-16,-17,-16,-16,-7,6,2,-6
16,11,1,6,5,-1,3,15
3,5,17,18,14,14,2,-24
-26,-19,-45,-52,-22,-14,-9,2
19,15,46,44,3,-5,5,9
13,3,-14,3,19,9,5,15
-39,-7,6,-13,-23,-11,-12,-21
43,-2,-25,-9,5,10,10,21
-14,-2,14,11,7,-5,-7,-22
-35,2,32,16,1,0,9,15
38,-6,-56,-34,-7,2,-6,-18
8,28,63,47,11,13,8,28
-48,-24,-27,-22,-6,-16,-11,-22
34,6,-15,10,7,5,4,2
-17,0,33,-7,-19,-8,-7,-19
14,-6,-21,5,18,16,25,40
20,5,-32,-62,-14,-14,-18,6
-7,8,49,60,24,19,3,-37
-24,13,20,37,-13,-14,-8,21
-9,-51,-72,-97,-22,-1,-4,-25
17,31,20,41,20,9,17,37
1,6,58,24,-2,-12,-15,-30
10,-27,-108,-62,-10,0,11,22
6,31,84,71,25,19,0,5
-13,-12,-28,-19,-15,-24,-9,-36
-2,-9,-2,-12,-6,6,1,23
20,28,42,55,28,0,10,6
-39,-43,-78,-104,-51,-11,-16,-12
34,41,76,63,45,30,19,7
-14,-22,-55,-27,-24,-16,-14,-7
10,12,48,52,28,5,9,12
29,0,-23,-18,-18,-16,-8,11
-116,-14,2,1,-6,9,2,-64
103,3,-25,-38,6,6,10,72
-19,15,6,-11,-7,-2,-7,-33
-18,-12,35,69,11,-7,-3,1
36,-1,-25,-45,-15,7,0,17
-40,-2,0,3,-11,-13,-4,-42
15,-6,-19,-19,17,19,13,43
2,25,52,46,13,-6,-9,-29
15,-5,-1,22,7,-4,2,24
-14,4,-6,-8,-2,4,7,2
-7,-39,-72,-108,-35,16,1,-12
-2,25,50,77,33,-15,-5,-10
19,5,8,9,-7,-4,-6,25
-5,4,-6,-14,-20,-11,-4,-9
6,-6,9,20,23,5,-2,-30
-59,-11,-8,5,1,10,10,22
49,8,-53,-135,-44,-10,4,23
3,-4,46,109,27,6,-3,-34
13,30,72,47,25,7,3,29
-25,-27,-72,-44,-21,-9,-5,-23
18,-9,-25,-50,-18,-4,-8,-3
-19,3,13,31,12,5,2,8
14,9,2,6,26,12,21,21
7,21,65,42,-26,-16,-23,-27
-56,-25,-18,-2,9,0,5,-24
32,-33,-86,-52,5,16,-4,32
5,33,40,-9,-29,-17,14,10
8,15,13,48,38,13,-7,-13
21,-2,3,5,-2,0,5,14
-23,-12,-17,-35,-11,-12,-7,-7
-33,-3,40,32,2,4,-4,-47
73,6,-16,-28,4,8,13,91
-12,-4,-7,-5,-28,-12,-5,-13
-50,8,7,44,29,7,-4,-56
32,-6,-15,-15,-3,0,0,39
-22,19,46,17,21,8,9,-18
-29,-27,-66,-65,-41,-12,-11,-28
63,32,79,54,21,5,12,41
-20,-36,-85,-45,-22,-16,-15,10
3,14,14,11,12,22,16,-30
5,-6,13,32,16,-5,-12,24
-20,8,0,-41,-21,-4,6,-2
4,0,28,75,26,3,-11,-30
4,-12,-56,-89,-26,-6,4,4
10,10,25,27,16,8,11,26
-12,4,31,28,-2,-5,-7,-28
28,7,-23,-6,-2,5,5,30
-7,-1,6,-18,4,6,5,5
2,-10,-5,6,-7,-12,-8,8
-8,8,-10,-13,-1,12,5,-44
-25,-9,-3,-3,7,-3,-1,14
-16,-8,4,-4,-22,-18,-22,-32
64,31,39,80,38,18,26,44
-24,-25,-20,-71,-33,-5,-5,16
-22,-7,-32,-11,7,-7,-4,-30
17,8,11,-15,-14,1,-7,-4
-25,-22,-4,61,25,-3,-8,-29
20,30,19,-2,-7,3,16,55
-24,-4,19,-25,-16,0,-16,-58
31,-5,-59,-22,12,6,21,62
-11,4,47,26,4,-1,-9,-46
-17,-27,-54,-48,-24,-14,-9,17
29,32,11,10,17,12,18,33
-11,-10,25,81,22,-1,-10,-52
21,13,34,-24,-5,10,10,40
20,6,-2,-45,-4,-3,-7,-14
-66,-30,-9,74,-3,-10,-4,3
-30,-11,-31,-82,-17,-4,-6,-27
65,50,39,43,26,17,12,-12
-1,-37,-32,-2,-1,-1,8,63
0,13,2,-17,-14,-8,-6,-14
6,8,42,59,21,0,-5,-15
-27,-20,-49,-52,-34,0,-3,-4
-17,7,19,34,29,6,-3,-20
53,19,27,-36,-27,-7,7,53
-13,-13,-18,29,26,7,-1,-23
-42,-22,-66,-78,-39,-24,-4,-18
87,10,24,42,29,16,12,23
-61,19,49,43,24,15,1,-17
-12,-6,-30,-52,-40,-12,3,16
33,-7,-6,49,25,3,-11,19
-20,7,-1,-67,-30,-12,-8,-38
9,-1,15,18,5,4,6,-5
22,11,16,41,20,13,5,20
-38,1,17,16,1,-6,0,-1
-3,-7,-34,-52,-12,-3,-9,-5
20,-11,-1,28,17,1,2,-6
-14,-12,-44,-23,-12,5,-2,-14
36,20,29,-63,-45,-16,25,50
-20,26,44,105,64,21,-18,-27
-11,-30,-7,-34,-26,-2,15,7
21,15,2,37,32,-3,-13,7
-2,-48,-81,-99,-25,1,-12,-16
-38,35,81,83,-2,-16,3,-19
40,-19,-81,-77,-11,10,5,12
-9,12,54,28,3,-4,-2,5
-5,14,38,96,29,4,0,-9
-23,-22,-37,-71,-26,0,2,4
27,7,-9,23,10,-8,-6,10
-4,18,69,-5,-12,2,5,-5
-3,3,-2,47,32,15,1,8
6,-20,-98,-71,-22,-3,10,12
-26,-2,16,-2,-5,-13,-24,-71
34,-10,-20,-28,-13,5,26,112
27,52,65,69,19,9,-3,-49
-65,-38,-16,-52,-12,-11,-13,-23
18,-1,11,48,17,7,0,-3
-14,-6,-30,-43,-8,-3,3,-4
-10,-5,14,19,7,2,-7,5
33,-2,-39,-15,-9,-2,16,53
17,39,95,41,12,1,-12,-32
-22,-18,-51,-62,-19,0,6,1
-2,3,60,104,28,5,6,-12
-2,-12,-51,-30,-4,-6,-9,-5
-15,-5,-31,-63,-27,-9,-4,9
39,6,14,-2,0,3,4,9
-29,11,7,28,16,7,7,-16
2,-22,-14,19,-5,-6,-11,-6
19,11,-8,-28,8,9,7,8
-21,17,69,82,-2,-15,-10,-9
21,-12,-82,-143,-18,15,12,8
-27,-3,56,65,13,-12,-13,-10
57,11,-40,33,21,27,17,28
-92,-13,36,-24,-19,-20,1,-2
88,9,-28,-3,13,9,3,4
-48,-10,-1,10,-14,-8,-13,-8
