1,-4,-9,0,7,2,-1,0
-2,5,22,11,-9,-3,1,0
3,-2,-43,-31,9,5,2,-1
-3,-2,22,15,-11,-4,0,2
2,3,8,14,16,4,-3,-2
1,1,-6,-15,-14,-4,2,1
-2,-4,4,19,5,8,-1,-2
1,7,-2,-14,12,-5,-1,4
-1,-5,0,-1,-9,-2,2,-2
0,-1,-6,10,-8,-1,-1,-1
2,-2,0,-7,13,0,2,4
-1,4,9,-7,-13,4,-1,-3
-4,0,10,1,9,-1,-2,-1
4,-2,-33,-5,-8,-2,0,2
-2,-1,23,28,5,0,1,-3
5,7,-4,-3,-2,0,-1,2
-2,-3,5,-12,9,2,1,1
-1,-4,-12,-6,-6,2,0,-2
2,5,14,-4,0,-5,1,2
-5,0,-9,4,3,2,0,-2
1,-8,0,11,-15,-3,-5,-3
1,11,8,-2,27,10,-3,2
-3,-18,-26,-12,-17,-10,16,6
4,27,67,10,-4,3,2,1
0,-22,-87,26,24,4,-11,-3
0,9,33,-35,-27,-5,-3,-3
-3,0,10,-1,6,1,23,-2
-3,-17,-33,-24,-5,4,-33,-12
4,21,123,63,8,-4,-27,23
7,-8,-139,18,2,-10,70,5
2,24,79,-54,-1,10,-70,-12
-10,-40,-81,-6,-2,-2,-3,2
-6,15,96,2,-4,-2,71,-13
8,7,-55,11,7,13,7,-3
-3,-5,48,-29,-3,2,-89,-9
8,9,-119,58,-2,-18,123,46
7,-22,-7,-63,12,-5,-114,7
-6,34,168,19,-10,25,112,-28
-9,-25,-77,24,5,43,-122,-2
1,-12,11,17,-6,-83,-41,5
-10,45,-15,-58,-26,-32,35,-29
12,-35,-7,4,12,37,-64,-28
-5,2,-6,24,20,-16,136,66
29,8,-20,-6,-13,16,11,26
3,21,26,27,4,39,65,-2
-34,-32,-6,-74,-3,2,-67,-30
-7,-13,-5,19,17,25,96,-41
-2,28,118,107,23,21,-241,-10
-5,-46,-140,-49,-25,-47,253,8
38,97,12,-28,-22,-59,-235,41
-6,-78,17,23,7,-6,190,40
-3,57,17,-61,-13,65,45,-30
-19,-94,-53,19,32,9,-112,-52
-4,84,48,63,-1,-26,-110,14
25,-6,26,-36,-27,-28,136,44
-14,-47,-20,-14,9,13,5,-42
6,65,22,16,18,-5,-71,14
-15,-114,-115,-14,-8,100,45,12
12,94,8,34,-6,-147,-105,-18
-8,-6,119,-55,-9,-19,95,-32
14,-17,-10,42,28,185,-36,87
-16,-22,15,-11,-26,-166,57,-44
1,4,-64,20,12,44,-58,-22
7,27,-34,-63,-6,120,33,23
14,32,79,32,-8,-175,-43,13
-17,-76,-22,31,18,72,75,2
8,10,-68,-37,-9,5,23,-44
-14,71,117,16,-2,-49,-48,70
16,-59,-103,-8,7,44,-120,-68
19,64,107,22,-10,-1,170,1
-35,-77,-73,-5,22,27,-43,64
24,35,-21,-43,-9,-2,28,-37
-20,-16,54,66,-1,48,-112,-31
12,9,-5,-29,-14,-97,69,56
4,17,15,20,10,27,8,-12
-8,-65,-53,-31,8,13,-22,-22
8,152,90,-7,-15,-44,30,41
-22,-130,-136,-10,8,39,-5,-85
10,49,122,14,1,45,-44,87
17,-29,-62,34,6,-43,-17,-73
-14,-65,-1,-21,-24,-84,-30,40
10,121,11,17,22,78,121,46
-1,-9,66,-34,-8,7,-40,-79
-10,-67,-107,19,15,25,2,23
-8,39,45,-14,-20,-35,48,1
9,-12,23,29,8,14,-88,-1
10,9,-44,1,15,12,46,14
-21,-42,27,-16,-26,-68,-56,1
23,43,-71,10,16,54,48,-26
-6,20,118,-29,-7,7,12,49
-8,-53,-91,-4,-5,-32,-9,-39
2,34,37,36,-2,5,-23,7
2,-15,-7,-21,21,20,56,37
0,-36,-54,-6,-14,-23,-28,-36
-1,76,110,20,2,14,-74,-7
8,-29,-63,-52,-11,9,37,11
-11,-2,75,111,22,14,15,18
14,-16,-173,-83,-21,-68,40,-7
-13,24,92,9,4,31,49,-15
4,23,46,9,21,81,-158,-14
-11,-69,-77,-45,-36,-107,-26,-1
32,65,106,66,36,46,125,39
-27,-63,-79,-24,-28,-16,-31,-6
-5,44,-17,0,11,-7,76,-19
5,-18,21,-28,8,30,-4,-18
-7,16,51,45,2,11,-88,14
23,0,-62,-42,-16,-30,-16,5
-19,-22,21,87,19,-16,58,16
10,16,28,-66,-8,43,4,-17
0,-2,-25,-25,-4,-38,-27,-3
-8,-5,-4,32,5,68,9,-16
7,-23,6,4,-14,-80,-24,25
6,87,52,11,17,8,20,1
-18,-85,-53,-31,-5,27,-14,-18
0,7,-14,38,-3,11,19,-1
21,38,-17,-72,-2,-26,-37,32
-11,-53,-21,7,-11,15,41,-20
-7,43,81,71,23,-2,2,-18
8,-10,-16,-25,-19,-22,-40,15
2,-15,-6,23,27,13,80,23
-2,14,-12,-46,-29,7,-33,-30
-1,5,18,-1,14,0,0,10
-4,-21,-46,9,-7,-18,-85,-11
