-3,18,19,1,-8,-7,-5,-12
0,-10,-1,4,4,1,-10,-2
-3,-1,-14,-1,-1,-1,12,5
2,-1,33,14,-5,-5,-6,-6
3,10,-9,-5,11,10,3,4
-1,-14,-27,1,-3,-3,4,0
-4,2,9,1,4,-1,-11,-13
2,9,-9,-9,-11,-1,0,8
2,-5,40,23,8,2,19,16
-2,-1,-23,-17,-6,-8,-23,-16
-1,5,21,-11,1,5,9,0
7,6,-35,12,3,9,19,12
-7,-16,-4,-16,-2,-12,-36,-19
2,14,43,42,13,11,11,17
-2,-14,-44,-52,-16,-9,35,11
3,6,22,30,10,4,-35,-22
-3,6,0,-17,-21,-9,0,2
6,-2,-12,6,15,11,15,7
-7,-12,-3,-3,-3,-2,-21,-13
6,20,32,19,4,-1,15,8
-10,-31,-68,-26,-4,-3,-3,-8
4,23,72,17,-7,1,-7,-5
-1,-6,-21,-11,10,0,-24,7
11,-10,-20,0,0,-2,62,28
-14,24,44,31,6,6,-31,-20
4,-20,-49,-34,-8,1,3,-10
3,10,3,10,2,-6,-12,3
-2,3,50,22,7,12,18,8
6,1,-19,-27,-9,-15,-17,-13
1,11,-23,-13,-13,-2,-3,21
-4,-14,16,24,22,23,39,7
0,-8,10,6,-9,-18,-50,-24
0,7,-38,-22,1,2,48,14
-2,-8,47,34,10,-2,-34,-9
6,12,-41,-49,-18,0,16,5
-7,8,20,39,15,5,-6,-2
1,-44,-6,-16,-7,1,-1,3
-1,36,-2,-15,-4,-12,-20,-17
-2,-20,20,35,1,6,11,2
-5,9,-52,-50,-12,1,4,-4
16,25,58,66,34,8,7,20
-1,-6,-36,-46,-12,0,22,18
-11,-12,67,46,-4,-3,-46,-41
2,-15,-86,-65,-10,-11,26,8
11,13,56,43,8,13,10,29
-14,-10,-44,1,6,-8,-9,-18
12,23,30,3,-4,5,11,17
-10,-17,-23,-21,-11,-12,-56,-34
-4,10,30,-19,-2,7,41,14
6,-9,-47,37,18,9,8,-5
-2,5,43,17,-6,-13,-14,-2
-8,-11,-8,-53,-6,-4,-20,-10
12,-13,-50,-2,-3,10,21,26
-11,15,70,25,1,5,11,-12
15,13,-49,-32,9,1,-26,-15
-1,-8,44,59,-10,-17,11,27
11,4,-22,0,27,30,74,20
-10,24,15,-52,-22,-24,-77,-29
-2,-19,-19,19,6,6,2,19
-17,-39,7,2,-10,-3,-14,-48
24,65,16,-3,2,4,2,25
-2,-44,-38,36,24,19,62,25
-7,5,19,-20,-6,-21,-43,-27
10,19,17,3,-8,0,18,37
-26,-29,-30,-32,-15,-8,-36,-46
11,11,3,1,-1,13,18,3
4,10,10,21,2,-15,-2,21
-9,-6,10,-3,11,19,0,-33
10,2,11,21,-2,-13,15,27
-10,-16,-45,-69,-24,-6,-26,-26
21,20,54,62,34,13,16,36
16,10,-34,7,9,18,63,57
-32,-9,16,12,-14,-21,-70,-65
-2,-4,-12,-39,-12,-7,-8,-25
-14,-29,-67,-74,-15,1,-23,-39
34,49,131,133,43,19,55,102
-14,-24,-78,-48,-34,-10,13,-27
-2,-8,29,-7,18,-1,-44,-20
10,32,19,24,-4,-11,24,19
-9,-22,-58,-42,-25,-10,-38,-34
4,-7,19,20,32,17,26,33
14,14,41,7,-17,0,20,22
-35,-21,-69,12,27,17,-35,-56
13,24,25,-33,-17,-11,6,-10
12,-6,-9,17,-3,0,-7,29
-8,-15,33,-8,-15,-12,16,10
25,25,15,5,24,24,70,63
-28,-13,-33,24,-10,-20,-72,-84
-9,-16,-18,-27,0,-5,-37,-22
10,22,64,23,9,11,21,22
-4,-23,-88,-31,-19,-5,31,11
8,20,56,12,29,11,-26,0
6,-2,-25,-23,-25,-9,28,0
4,14,21,49,24,6,-16,26
-15,-16,20,-17,-27,-10,18,-25
10,2,-24,26,30,7,-18,12
-20,-12,-14,-61,-33,-3,-17,-33
14,-2,-15,14,15,13,31,23
15,41,82,55,14,-12,6,22
-14,-32,-71,-80,-16,1,-29,-20
-10,0,3,38,2,4,-6,-30
17,4,21,29,8,-1,66,60
-16,-4,-25,-62,-22,-9,-90,-71
22,4,11,26,14,7,72,76
-7,6,15,20,16,2,-18,-18
-11,-6,17,-13,-29,-12,-33,-39
4,-11,-51,-20,-1,11,31,30
-12,5,11,7,12,-9,-51,-43
7,4,34,15,-6,2,33,14
11,-2,-50,17,19,9,2,28
5,18,68,24,0,-4,14,7
-22,-31,-61,-102,-40,-15,-29,-32
10,27,47,49,44,19,-16,-3
8,-9,-54,-19,-30,-5,81,47
-5,4,36,46,22,11,-35,-24
-2,-1,2,6,3,1,-4,-16
8,-18,3,-13,3,4,16,28
-5,45,25,4,-11,-29,-57,-28
-13,-54,-82,-46,-7,10,23,-5
28,44,86,64,22,26,64,68
-27,-35,-50,-43,-35,-38,-73,-64
11,14,12,-2,19,17,12,4
-3,-2,-36,5,-14,-5,1,8
3,-2,79,27,14,5,35,6
9,30,18,4,5,-2,-32,5
-18,-47,-121,-64,-21,-3,1,-24
1,27,65,27,24,3,-24,1
5,-14,-42,1,-24,-4,43,16
5,10,27,9,-2,-2,-10,6
-1,4,28,21,39,13,-18,-19
1,-11,-35,-35,-21,-6,1,8
-6,10,41,24,-14,-7,0,-9
5,-16,-61,-2,20,10,37,19
-1,25,78,9,-6,-2,-37,-11
2,-20,-55,-14,5,8,47,18
12,30,45,54,24,11,-21,2
-22,-33,-58,-66,-41,-31,-30,-22
-5,-5,5,6,16,10,5,-6
10,5,39,12,-6,-2,6,3
-10,-5,-109,-45,-29,-23,-27,-17
18,33,164,80,46,30,20,25
-7,-37,-91,-32,-9,0,17,2
10,38,62,3,-7,-4,0,5
-31,-33,-51,-18,5,3,-17,-30
24,7,-32,-17,-17,-7,14,26
7,21,43,25,17,7,5,8
-17,-37,-10,-3,-23,-7,2,-10
15,28,6,1,37,8,-17,-3
-14,-12,-3,-5,-41,-18,0,-11
1,8,27,14,25,13,-11,-13
11,-4,-47,-8,3,19,32,60
-1,3,37,-3,-2,-16,-9,-26
0,-4,-56,-34,-30,-7,29,16
-10,-9,56,74,32,-7,-42,-37
